Ticker,Country,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Utilities
GLW,1,0,0,0,0,0,0,0,0,0,1,0
GM,1,0,0,1,0,0,0,0,0,0,0,0
GNRC,1,0,0,0,0,0,0,0,1,0,0,0
GOOG,1,0,1,0,0,0,0,0,0,0,0,0
GOOGL,1,0,1,0,0,0,0,0,0,0,0,0
GPC,1,0,0,1,0,0,0,0,0,0,0,0
GPN,1,0,0,0,0,0,0,0,1,0,0,0
GRMN,1,0,0,0,0,0,0,0,0,0,1,0
GS,1,0,0,0,0,0,1,0,0,0,0,0
GWW,1,0,0,0,0,0,0,0,1,0,0,0
HAL,1,0,0,0,0,1,0,0,0,0,0,0
HAS,1,0,0,1,0,0,0,0,0,0,0,0
HBAN,1,0,0,0,0,0,1,0,0,0,0,0
HCA,1,0,0,0,0,0,0,1,0,0,0,0
HD,1,0,0,1,0,0,0,0,0,0,0,0
HES,1,0,0,0,0,1,0,0,0,0,0,0
HIG,1,0,0,0,0,0,1,0,0,0,0,0
HII,1,0,0,0,0,0,0,0,1,0,0,0
HLT,1,0,0,1,0,0,0,0,0,0,0,0
HOLX,1,0,0,0,0,0,0,1,0,0,0,0
HON,1,0,0,0,0,0,0,0,1,0,0,0
HPQ,1,0,0,0,0,0,0,0,0,0,1,0
HRL,1,0,0,0,1,0,0,0,0,0,0,0
HSIC,1,0,0,0,0,0,0,1,0,0,0,0
HST,1,0,0,0,0,0,0,0,0,1,0,0
HSY,1,0,0,0,1,0,0,0,0,0,0,0
HUBB,1,0,0,0,0,0,0,0,1,0,0,0
HUM,1,0,0,0,0,0,0,1,0,0,0,0
IBM,1,0,0,0,0,0,0,0,0,0,1,0
ICE,1,0,0,0,0,0,1,0,0,0,0,0
IDXX,1,0,0,0,0,0,0,1,0,0,0,0
IEX,1,0,0,0,0,0,0,0,1,0,0,0
IFF,1,1,0,0,0,0,0,0,0,0,0,0
INCY,1,0,0,0,0,0,0,1,0,0,0,0
INTC,1,0,0,0,0,0,0,0,0,0,1,0
INTU,1,0,0,0,0,0,0,0,0,0,1,0
IP,1,0,0,1,0,0,0,0,0,0,0,0
IPG,1,0,1,0,0,0,0,0,0,0,0,0
IQV,1,0,0,0,0,0,0,1,0,0,0,0
IRM,1,0,0,0,0,0,0,0,0,1,0,0
ISRG,1,0,0,0,0,0,0,1,0,0,0,0
IT,1,0,0,0,0,0,0,0,0,0,1,0
ITW,1,0,0,0,0,0,0,0,1,0,0,0
IVZ,1,0,0,0,0,0,1,0,0,0,0,0
J,1,0,0,0,0,0,0,0,1,0,0,0
JBHT,1,0,0,0,0,0,0,0,1,0,0,0
JBL,1,0,0,0,0,0,0,0,0,0,1,0
JCI,1,0,0,0,0,0,0,0,1,0,0,0
JKHY,1,0,0,0,0,0,0,0,0,0,1,0
JNJ,1,0,0,0,0,0,0,1,0,0,0,0
JNPR,1,0,0,0,0,0,0,0,0,0,1,0
JPM,1,0,0,0,0,0,1,0,0,0,0,0
K,1,0,0,0,1,0,0,0,0,0,0,0
KDP,1,0,0,0,1,0,0,0,0,0,0,0
KEY,1,0,0,0,0,0,1,0,0,0,0,0
KEYS,1,0,0,0,0,0,0,0,0,0,1,0
KIM,1,0,0,0,0,0,0,0,0,1,0,0
KKR,1,0,0,0,0,0,1,0,0,0,0,0
KLAC,1,0,0,0,0,0,0,0,0,0,1,0
KMB,1,0,0,0,1,0,0,0,0,0,0,0
KMI,1,0,0,0,0,1,0,0,0,0,0,0
KMX,1,0,0,1,0,0,0,0,0,0,0,0
KO,1,0,0,0,1,0,0,0,0,0,0,0
KR,1,0,0,0,1,0,0,0,0,0,0,0
L,1,0,0,0,0,0,1,0,0,0,0,0
LDOS,1,0,0,0,0,0,0,0,0,0,1,0
LEN,1,0,0,1,0,0,0,0,0,0,0,0
LH,1,0,0,0,0,0,0,1,0,0,0,0
LHX,1,0,0,0,0,0,0,0,1,0,0,0
LII,1,0,0,0,0,0,0,0,1,0,0,0
LIN,1,1,0,0,0,0,0,0,0,0,0,0
LKQ,1,0,0,1,0,0,0,0,0,0,0,0
LLY,1,0,0,0,0,0,0,1,0,0,0,0
LMT,1,0,0,0,0,0,0,0,1,0,0,0
LNT,1,0,0,0,0,0,0,0,0,0,0,1
LOW,1,0,0,1,0,0,0,0,0,0,0,0
LRCX,1,0,0,0,0,0,0,0,0,0,1,0
LULU,1,0,0,1,0,0,0,0,0,0,0,0
LUV,1,0,0,0,0,0,0,0,1,0,0,0
LVS,1,0,0,1,0,0,0,0,0,0,0,0
LYB,1,1,0,0,0,0,0,0,0,0,0,0
LYV,1,0,1,0,0,0,0,0,0,0,0,0
MA,1,0,0,0,0,0,1,0,0,0,0,0
MAA,1,0,0,0,0,0,0,0,0,1,0,0
